userId,movieId,movie,rating
4,588,Aladdin (1992),4
5,588,Aladdin (1992),4
6,588,Aladdin (1992),5
7,588,Aladdin (1992),3
10,588,Aladdin (1992),4
15,588,Aladdin (1992),3
18,588,Aladdin (1992),3.5
19,588,Aladdin (1992),3
20,588,Aladdin (1992),5
21,588,Aladdin (1992),4
31,588,Aladdin (1992),5
33,588,Aladdin (1992),5
38,588,Aladdin (1992),3
39,588,Aladdin (1992),4
40,588,Aladdin (1992),4
43,588,Aladdin (1992),5
45,588,Aladdin (1992),5
46,588,Aladdin (1992),5
52,588,Aladdin (1992),5
54,588,Aladdin (1992),3
57,588,Aladdin (1992),4
58,588,Aladdin (1992),5
63,588,Aladdin (1992),4
64,588,Aladdin (1992),4
68,588,Aladdin (1992),3.5
86,588,Aladdin (1992),4
91,588,Aladdin (1992),3.5
93,588,Aladdin (1992),4
94,588,Aladdin (1992),4
99,588,Aladdin (1992),5
102,588,Aladdin (1992),4
104,588,Aladdin (1992),4
109,588,Aladdin (1992),3
111,588,Aladdin (1992),4.5
115,588,Aladdin (1992),4
117,588,Aladdin (1992),4
126,588,Aladdin (1992),3
129,588,Aladdin (1992),3.5
132,588,Aladdin (1992),3.5
133,588,Aladdin (1992),3
134,588,Aladdin (1992),3
136,588,Aladdin (1992),3
137,588,Aladdin (1992),4
140,588,Aladdin (1992),3
141,588,Aladdin (1992),4
142,588,Aladdin (1992),5
144,588,Aladdin (1992),4.5
145,588,Aladdin (1992),4
155,588,Aladdin (1992),3
166,588,Aladdin (1992),5
167,588,Aladdin (1992),3
169,588,Aladdin (1992),5
170,588,Aladdin (1992),3
173,588,Aladdin (1992),3
174,588,Aladdin (1992),4
176,588,Aladdin (1992),3
177,588,Aladdin (1992),4
181,588,Aladdin (1992),4
185,588,Aladdin (1992),4
186,588,Aladdin (1992),5
200,588,Aladdin (1992),4
202,588,Aladdin (1992),4
216,588,Aladdin (1992),4
219,588,Aladdin (1992),4.5
220,588,Aladdin (1992),5
225,588,Aladdin (1992),4
226,588,Aladdin (1992),4
232,588,Aladdin (1992),3
234,588,Aladdin (1992),5
235,588,Aladdin (1992),4
239,588,Aladdin (1992),4
240,588,Aladdin (1992),4
242,588,Aladdin (1992),3
243,588,Aladdin (1992),3
247,588,Aladdin (1992),5
249,588,Aladdin (1992),4
273,588,Aladdin (1992),5
274,588,Aladdin (1992),4
282,588,Aladdin (1992),4.5
284,588,Aladdin (1992),5
288,588,Aladdin (1992),4
292,588,Aladdin (1992),4
294,588,Aladdin (1992),3
304,588,Aladdin (1992),4
307,588,Aladdin (1992),4
314,588,Aladdin (1992),3
319,588,Aladdin (1992),5
321,588,Aladdin (1992),3
323,588,Aladdin (1992),4
328,588,Aladdin (1992),3.5
330,588,Aladdin (1992),3
347,588,Aladdin (1992),4
349,588,Aladdin (1992),4
353,588,Aladdin (1992),3
354,588,Aladdin (1992),3.5
357,588,Aladdin (1992),4.5
372,588,Aladdin (1992),4
374,588,Aladdin (1992),3
